"","instr","college_student","inFavor_inclusion_diffRating_in_Qguide","strongOpin","age","male","gender_TEXT","yearSchool","condition","instr_A","product_clean1","product_neutral1","product_neutral2","product_clean2","product_clean3","product_neutral3","product_clean4","product_neutral4","product_neutral5","product_clean5","selfAliena_1","selfAliena_2","selfAliena_3","selfAliena_4","amountChoice_writing_essay","av_products_clean","av_products_neutral","self_alienation","amount_choice","cond_Num"
283,1,1,1,7,20,0,"            ","Senior","ProAttitudinal",1,3,3,1,5,1,1,1,1,1,1,2,1,1,1,7,2.2,1.4,1.25,7,2
284,1,1,1,6,19,0,"            ","sophomore","No_Choice     ",1,7,6,3,4,2,4,5,1,6,2,2,1,2,1,1,4,4,1.5,1,0
285,1,1,1,5,18,0,"            ","Freshman (1st)","High_Choice   ",1,5,7,4,5,3,3,3,1,7,3,2,1,1,1,1,3.8,4.4,1.25,1,1
286,1,1,1,7,18,1,"            ","Freshman","No_Choice     ",1,7,2,4,6,1,2,2,2,5,1,4,4,4,4,1,3.4,3,4,1,0
287,1,1,1,7,18,0,"            ","Freshman","High_Choice   ",1,6,4,3,5,1,3,2,1,6,3,1,1,1,1,1,3.4,3.4,1,1,1
288,1,1,1,7,18,1,"            ","2018","High_Choice   ",1,2,1,5,2,2,6,2,1,6,2,2,2,2,2,1,2,3.8,2,1,1
289,1,1,1,6,18,1,"            ","Freshman","ProAttitudinal",1,6,5,6,6,5,5,6,3,7,6,2,2,2,2,7,5.8,5.2,2,7,2
290,1,1,1,6,21,1,"            ","Senior","No_Choice     ",1,7,2,5,3,1,1,5,2,2,6,2,2,2,2,2,4.4,2.4,2,2,0
291,1,1,1,7,29,0,"            ","Senior","No_Choice     ",1,7,2,7,7,7,2,7,1,7,7,1,1,4,1,1,7,3.8,1.75,1,0
292,1,1,1,7,22,1,"            ","senior","High_Choice   ",1,3,7,7,7,4,3,3,1,7,5,1,1,1,1,7,4.4,5,1,7,1
293,1,1,1,7,18,0,"            ","Freshman","High_Choice   ",1,7,7,6,7,7,6,7,4,1,5,1,1,1,1,7,6.6,4.8,1,7,1
294,1,1,1,7,20,0,"            ","Senior","ProAttitudinal",1,5,4,4,5,3,3,4,2,1,2,2,2,2,1,5,3.8,2.8,1.75,5,2
295,1,1,1,7,19,0,"            ","Sophomore Undergraduate","ProAttitudinal",1,5,4,5,6,1,1,2,1,2,1,2,1,3,3,5,3,2.6,2.25,5,2
296,1,1,1,5,21,0,"            ","Junior","No_Choice     ",1,4,5,5,4,5,3,6,2,2,6,2,2,2,2,2,5,3.4,2,2,0
297,1,1,1,5,19,0,"            ","Sophomore","High_Choice   ",1,7,6,7,7,3,6,7,1,2,4,1,1,3,3,7,5.6,4.4,2,7,1
298,1,1,1,6,21,0,"            ","Senior","No_Choice     ",1,5,5,5,5,5,5,6,5,5,5,4,4,4,2,2,5.2,5,3.5,2,0
299,1,1,1,6,19,0,"            ","Sophomore","High_Choice   ",1,7,2,5,7,7,1,7,1,2,7,2,2,2,2,7,7,2.2,2,7,1
