district,state,cd,member,party,harris_pct_2024map,trump_pct_2024map,dem_margin_2024map,harris_pct_2026map,trump_pct_2026map,dem_margin_2026map,redistricted
KY-04,KY,4,Thomas Massie,R,31.4,66.9,-35.6,31.4,67,-35.6,0
KY-05,KY,5,Hal Rogers,R,17.5,81.3,-63.9,17.4,81.3,-63.9,0
KY-06,KY,6,Andy Barr,R,41.6,56.6,-15,41.6,56.6,-15,0
LA-01,LA,1,Steve Scalise,R,30.1,68,-37.9,30,68.2,-38.2,1
LA-02,LA,2,Troy Carter,D,64.7,33.3,31.4,72.7,25.3,47.4,1
LA-03,LA,3,Clay Higgins,R,26.9,71.7,-44.8,31.3,67.3,-36,1
LA-04,LA,4,Mike Johnson,R,23.3,75.5,-52.1,32.3,66.5,-34.2,1
LA-05,LA,5,Julia Letlow,R,31.1,67.4,-36.3,32.4,66.4,-34,1
LA-06,LA,6,Cleo Fields,D,56.7,41.7,15,34.1,64.2,-30.1,1
MA-01,MA,1,Richard Neal,D,55.8,42.1,13.6,55.8,42.1,13.6,0
MA-02,MA,2,Jim McGovern,D,60.6,36.9,23.7,60.6,36.9,23.7,0
MA-03,MA,3,Lori Trahan,D,58.4,39.4,19,58.4,39.5,19,0
MA-04,MA,4,Jake Auchincloss,D,58.8,39.1,19.7,58.9,39.1,19.7,0
MA-05,MA,5,Katherine Clark,D,71.3,26.1,45.2,71.3,26.1,45.2,0
MA-06,MA,6,Seth Moulton,D,59.4,38.7,20.7,59.4,38.7,20.7,0
MA-07,MA,7,Ayanna Pressley,D,80,16.9,63.1,80,16.9,63.1,0
MA-08,MA,8,Stephen Lynch,D,62.2,35.7,26.4,62.1,35.7,26.4,0
MA-09,MA,9,Bill Keating,D,54.6,43.8,10.8,54.6,43.8,10.8,0
MD-01,MD,1,Andy Harris,R,40.4,57.3,-16.9,40.4,57.3,-16.9,0
MD-02,MD,2,Johnny Olszewski,D,58,39.5,18.5,58,39.5,18.5,0
MD-03,MD,3,Sarah Elfreth,D,60.4,36.6,23.8,60.4,36.6,23.8,0
MD-04,MD,4,Glenn Ivey,D,85.5,11.8,73.6,85.5,11.8,73.6,0
MD-05,MD,5,Steny Hoyer,D,65.5,32.2,33.3,65.5,32.2,33.3,0
MD-06,MD,6,April McClain Delaney,D,51.6,45.8,5.8,51.6,45.8,5.8,0
MD-07,MD,7,Kweisi Mfume,D,78.2,19.2,58.9,78.2,19.2,58.9,0
