district,state,cd,member,party,harris_pct_2024map,trump_pct_2024map,dem_margin_2024map,harris_pct_2026map,trump_pct_2026map,dem_margin_2026map,redistricted
TX-17,TX,17,Pete Sessions,R,34.9,64.1,-29.2,38.5,60.2,-21.7,1
TX-18,TX,18,Christian Menefee,D,69.2,29.4,39.8,76.8,21.8,55,1
TX-19,TX,19,Jodey Arrington,R,23.7,75.4,-51.7,23.7,75.4,-51.7,0
TX-20,TX,20,Joaquin Castro,D,60.1,38.8,21.3,63.7,35.1,28.5,1
TX-21,TX,21,Chip Roy,R,37.6,61.3,-23.6,38.5,60.4,-21.8,1
TX-22,TX,22,Troy Nehls,R,39.3,58.8,-19.5,37.9,60.1,-22.3,1
TX-23,TX,23,VACANT (Gonzales),R,41.8,57.3,-15.5,42.1,56.9,-14.8,1
TX-24,TX,24,Beth Van Duyne,R,41.5,57,-15.5,41.2,57.3,-16.1,1
TX-25,TX,25,Roger Williams,R,31.3,67.6,-36.3,37.4,61.5,-24.1,1
TX-26,TX,26,Brandon Gill,R,37.6,61,-23.4,37.4,61.3,-23.8,1
TX-27,TX,27,Michael Cloud,R,34.7,64.4,-29.7,38.9,60.1,-21.2,1
TX-28,TX,28,Henry Cuellar,D,45.9,53.2,-7.3,44.5,54.8,-10.4,1
TX-29,TX,29,Sylvia Garcia,D,59.6,39.2,20.4,64.6,34.1,30.4,1
TX-30,TX,30,Jasmine Crockett,D,72.8,25.9,47,72.9,25.8,47.2,1
TX-31,TX,31,John Carter,R,37.7,61,-23.3,38.5,60.3,-21.9,1
TX-32,TX,32,Julie Johnson,D,60.7,36.9,23.8,40.2,58,-17.8,1
TX-33,TX,33,Marc Veasey,D,65.7,32,33.8,65.5,32.7,32.8,1
TX-34,TX,34,Vicente Gonzalez,D,47.4,51.8,-4.4,44.5,54.7,-10.1,1
TX-35,TX,35,Greg Casar,D,66.1,32.4,33.6,44.3,54.8,-10.5,1
TX-36,TX,36,Brian Babin,R,31.1,67.9,-36.8,36.9,61.9,-25,1
TX-37,TX,37,Lloyd Doggett,D,73.7,24.4,49.3,77.4,20.8,56.6,1
TX-38,TX,38,Wesley Hunt,R,38.8,59.5,-20.7,38.6,59.6,-20.9,1
UT-01,UT,1,Blake Moore,R,38.5,58.5,-20,60.4,36.8,23.6,1
UT-02,UT,2,Celeste Maloy,R,38.6,58.9,-20.3,34,63,-29,1
UT-03,UT,3,Mike Kennedy,R,39,58.3,-19.3,28.1,69.5,-41.4,1
UT-04,UT,4,Burgess Owens,R,35.2,61.9,-26.7,32.4,64.9,-32.5,1
VA-01,VA,1,Rob Wittman,R,46.9,51.8,-4.9,46.9,51.8,-4.9,0
VA-02,VA,2,Jen Kiggans,R,49.3,49.5,-0.2,49.3,49.5,-0.2,0
VA-03,VA,3,Bobby Scott,D,66.6,32,34.7,66.6,32,34.7,0
VA-04,VA,4,Jennifer McClellan,D,65.6,32.9,32.7,65.6,32.9,32.7,0
VA-05,VA,5,John McGuire,R,43.4,55.6,-12.3,43.4,55.6,-12.3,0
VA-06,VA,6,Ben Cline,R,37.5,61.4,-23.9,37.5,61.4,-23.9,0
VA-07,VA,7,Eugene Vindman,D,50.5,47.7,2.9,50.5,47.7,2.9,0
VA-08,VA,8,Don Beyer,D,73.7,24,49.7,73.7,24,49.8,0
VA-09,VA,9,Morgan Griffith,R,27.6,71.6,-44.1,27.6,71.6,-44.1,0
VA-10,VA,10,Suhas Subramanyam,D,52.9,44.5,8.4,52.9,44.5,8.4,0
VA-11,VA,11,James Walkinshaw,D,65.7,31.4,34.3,65.7,31.4,34.3,0
VT-AL,VT,99,Becca Balint,D,64.4,32.6,31.8,64.4,32.6,31.8,0
WA-01,WA,1,Suzan DelBene,D,62.6,33.9,28.7,62.6,33.9,28.7,0
WA-02,WA,2,Rick Larsen,D,60.2,36.6,23.7,60.2,36.6,23.7,0
WA-03,WA,3,Marie Gluesenkamp Perez,D,47,50.3,-3.3,47,50.2,-3.3,0
WA-04,WA,4,Dan Newhouse,R,38.3,59,-20.7,38.3,59,-20.7,0
WA-05,WA,5,Michael Baumgartner,R,43.2,53.9,-10.8,43.2,54,-10.8,0
WA-06,WA,6,Emily Randall,D,58.1,38.8,19.3,58.1,38.8,19.3,0
WA-07,WA,7,Pramila Jayapal,D,85.8,10.8,75,85.8,10.8,75,0
WA-08,WA,8,Kim Schrier,D,51.3,45.5,5.8,51.3,45.5,5.8,0
WA-09,WA,9,Adam Smith,D,68.9,27.7,41.2,68.9,27.6,41.2,0
WA-10,WA,10,Marilyn Strickland,D,57.4,39.4,18,57.4,39.4,18,0
WI-01,WI,1,Bryan Steil,R,47,51.5,-4.5,47,51.5,-4.5,0
WI-02,WI,2,Mark Pocan,D,69.3,29.2,40.1,69.3,29.2,40.1,0
WI-03,WI,3,Derrick Van Orden,R,45.5,52.9,-7.4,45.5,52.9,-7.4,0
WI-04,WI,4,Gwen Moore,D,74.9,23.4,51.6,74.9,23.4,51.5,0
WI-05,WI,5,Scott Fitzgerald,R,38.3,60.4,-22.2,38.3,60.4,-22.1,0
WI-06,WI,6,Glenn Grothman,R,41.1,57.6,-16.5,41.1,57.6,-16.5,0
WI-07,WI,7,Tom Tiffany,R,38,60.5,-22.5,38,60.5,-22.5,0
WI-08,WI,8,Tony Wied,R,41.2,57.5,-16.3,41.2,57.5,-16.3,0
WV-01,WV,1,Carol Miller,R,26.9,71.3,-44.4,26.9,71.2,-44.4,0
WV-02,WV,2,Riley Moore,R,29.2,68.8,-39.6,29.2,68.8,-39.6,0
WY-AL,WY,99,Harriet Hageman,R,26.1,72.3,-46.2,26.1,72.3,-46.2,0
