"sport","weight_class","red_id","blue_id","round","winner","win_method","points_red","points_blue"
"Free Wrestling","55kg","25503","25518","Gold","Blue","Points","2","12"
"Free Wrestling","60kg","26003","26006","Qualification","Red","Points","9","0"
"Free Wrestling","60kg","26007","26011","Qualification","Red","Points","8","0"
"Free Wrestling","60kg","26003","26007","Semifinals","Blue","Points","2","6"
"Free Wrestling","60kg","26015","26019","Semifinals","Red","Points","8","5"
"Free Wrestling","60kg","26006","26011","5th/6th","Blue","Walkover","0","4"
"Free Wrestling","60kg","26003","26019","Bronze","Blue","Points","6","9"
"Free Wrestling","60kg","26007","26015","Gold","Red","Points","7","0"
"Free Wrestling","66kg","26603","26606","Qualification","Blue","Points","3","6"
"Free Wrestling","66kg","26607","26611","Qualification","Blue","Points","3","9"
"Free Wrestling","66kg","26614","26616","Qualification","Blue","Points","0","9"
"Free Wrestling","66kg","26606","26611","Semifinals","Blue","Points","3","7"
"Free Wrestling","66kg","26616","26621","Semifinals","Blue","Points","2","6"
"Free Wrestling","66kg","26603","26607","5th/6th","Red","Points","9","5"
"Free Wrestling","66kg","26606","26616","Bronze","Blue","Points","2","5"
"Free Wrestling","66kg","26611","26621","Gold","Red","Points","8","2"
"Free Wrestling","74kg","27403","27406","Qualification","Red","Points","6","2"
"Free Wrestling","74kg","27409","27411","Qualification","Red","Points","6","3"
"Free Wrestling","74kg","27414","27417","Qualification","Blue","Points","3","6"
"Free Wrestling","74kg","27403","27409","Semifinals","Blue","Points","5","8"
"Free Wrestling","74kg","27417","27420","Semifinals","Red","Points","11","0"
"Free Wrestling","74kg","27411","27414","5th/6th","Red","Walkover","4","0"
"Free Wrestling","74kg","27403","27420","Bronze","Red","Points","6","2"
"Free Wrestling","74kg","27409","27417","Gold","Blue","Points","0","10"
"Free Wrestling","84kg","28401","28406","Qualification","Blue","Points","6","9"
"Free Wrestling","84kg","28408","28412","Qualification","Blue","Points","2","6"
"Free Wrestling","84kg","28413","28417","Qualification","Blue","Points","2","6"
"Free Wrestling","84kg","28416","28412","Semifinals","Red","Points","6","3"
"Free Wrestling","84kg","28417","28419","Semifinals","Red","Points","13","0"
"Free Wrestling","84kg","28401","28408","5th/6th","Red","Points","6","0"
"Free Wrestling","84kg","28412","28419","Bronze","Blue","Points","4","8"
"Free Wrestling","84kg","28406","28417","Gold","Red","Points","6","2"
"Free Wrestling","96kg","29601","29605","Qualification","Blue","Points","2","7"
"Free Wrestling","96kg","29607","29611","Qualification","Blue","Points","0","8"
"Free Wrestling","96kg","29615","29618","Qualification","Red","Points","6","0"
"Free Wrestling","96kg","29605","29611","Semifinals","Red","Points","9","5"
"Free Wrestling","96kg","29615","29620","Semifinals","Red","Points","8","0"
"Free Wrestling","96kg","29601","29607","5th/6th","Blue","Points","0","7"
"Free Wrestling","96kg","29611","29620","Bronze","Red","Points","6","3"
"Free Wrestling","96kg","29605","29615","Gold","Blue","Points","2","7"
"Free Wrestling","120kg","212001","212005","Qualification","Red","Points","10","4"
"Free Wrestling","120kg","212007","212012","Qualification","Blue","Points","2","6"
"Free Wrestling","120kg","212001","212012","Semifinals","Red","Points","6","0"
"Free Wrestling","120kg","212015","212017","Semifinals","Blue","Points","2","7"
"Free Wrestling","120kg","212005","212007","5th/6th","Blue","Walkover","0","4"
"Free Wrestling","120kg","212012","212015","Bronze","Red","Points","6","2"
"Free Wrestling","120kg","212001","212015","Gold","Red","Points","8","0"
